K,transitions,probability,time
7,20,1.3535734684132858e-26,1.3052539825439453
8,865,1.0681623209613817e-24,2.694581985473633
9,6186,2.317426054108826e-23,4.25850510597229
10,23253,2.515122098946514e-22,6.093938112258911
11,62976,1.925290075568754e-21,9.014934539794922
12,139905,1.6566465645045442e-20,14.525793075561523
13,272230,3.131320583009689e-18,25.70856475830078
14,481781,5.039328641851275e-12,46.907920598983765
15,751053,4.626287536436711e-11,82.67128443717957
16,1089791,1.990534132884141e-10,130.06256294250488
17,1497811,5.79710740843175e-10,204.11792182922363
18,1972329,1.3466984887739837e-09,297.1241796016693
19,2507961,2.7311829622497017e-09,418.8859522342682
20,3096723,5.099816619112428e-09,565.8323910236359
21,3728031,9.038582674826485e-09,743.7235836982727
22,4388701,1.5371555240047255e-08,955.3821675777435
23,5108543,2.5301895993451394e-08,1200.1786472797394
24,5891196,4.0474824602294894e-08,1481.0183305740356
25,6740819,6.310686387020555e-08,1811.9234609603882
26,7662091,9.61233949884995e-08,2209.7354640960693
27,8660211,1.433132751204892e-07,2663.011171579361
28,9740898,2.0949821207516725e-07,3172.096100330353
29,10910391,3.007142653138937e-07,3749.3963968753815
30,12175449,4.2440258966740403e-07,4396.452170848846
31,13540772,5.896062133207756e-07,5121.191392660141
32,15011164,8.071694133744444e-07,5921.852005004883
33,16591533,1.0899363171248119e-06,6834.154385089874
34,18286891,1.4529456980453953e-06,7849.1153216362
35,20102354,1.913619632082308e-06,9075.752524614334
36,22043142,2.491944667328473e-06,10396.120626211166
37,24114579,3.2106454361104784e-06,11785.001383781433
38,26322093,4.0953522581676634e-06,13246.98644399643
