K,transitions,probability,time
7,43081,1.3955812693119364e-24,2.0515692234039307
8,74973,1.0718963721924206e-23,5.487520933151245
9,123319,5.646259098684539e-23,11.521100521087646
10,193424,2.3282716398319096e-22,20.65759515762329
11,291309,8.537672122902097e-22,33.987228870391846
12,423651,6.73754847414138e-20,53.75623869895935
13,597723,1.9409989412536875e-16,84.13529825210571
14,821334,5.061947447149618e-15,124.29803705215454
15,1102775,5.2859318790390056e-14,179.8490400314331
16,1450804,3.3787712596221767e-13,253.58902311325073
17,1874670,1.5780804213806653e-12,351.5852463245392
18,2384143,5.912614956010961e-12,487.46306562423706
19,2989544,1.8789367810080657e-11,659.2178726196289
20,3701775,5.2514373858026984e-11,874.8060462474823
21,4532349,1.323733690302066e-10,1141.4652070999146
22,5493420,3.06492721623508e-10,1617.9244408607483
23,6597810,6.60873776615768e-10,2005.7046129703522
24,7859026,1.3413004120507663e-09,2471.394719839096
25,9291275,2.584068704144519e-09,3033.2382459640503
26,10909479,4.757698972589071e-09,3702.4332313537598
27,12729290,8.417939381543781e-09,4490.767478942871
28,14767105,1.4378432274807498e-08,5411.762313842773
29,17040081,2.3799370811966444e-08,6486.022795677185
30,19566150,3.829631658366393e-08,7721.2280604839325
31,22364034,6.007108672614732e-08,9138.841956615448
