K,transitions,probability,time
7,20,1.3535734684132858e-26,1.2373850345611572
8,3915,1.2904881910828776e-23,2.43354868888855
9,31650,4.689006781455787e-22,3.9386909008026123
10,123137,6.867028369723977e-21,8.094873666763306
11,338256,8.469317815351097e-20,18.80786943435669
12,756855,1.9788782638383595e-18,42.630160093307495
13,1478750,1.1562828223176126e-15,91.68386697769165
14,2623725,1.7723975758137921e-09,185.43175530433655
15,3602688,5.004090879636995e-09,314.7030553817749
16,4824277,1.2628895284248726e-08,490.601425409317
17,6324804,2.9032449600446098e-08,721.8369560241699
18,8143077,6.1670979138722e-08,1031.2607281208038
19,10320400,1.224056481542739e-07,1435.2569844722748
20,12900573,2.290489839124891e-07,1965.8876585960388
21,15929892,4.070403554661061e-07,2629.0494017601013
22,19457149,6.911469331587007e-07,3466.2435054779053
23,23533632,1.1270836818504096e-06,4509.1573169231415
24,28213125,1.772963043174185e-06,5755.496186494827
25,33551908,2.7005210652007323e-06,7263.97328710556
