K,transitions,probability,time
7,20,1.3535734684132858e-26,1.3304779529571533
8,3713,8.886938512044353e-24,2.5458719730377197
9,28878,3.3753874243439035e-22,3.9939966201782227
10,107962,5.276401681653034e-21,7.8033599853515625
11,285416,6.915373901270793e-20,17.84004855155945
12,617285,1.6949257946392132e-18,39.76032066345215
13,1171422,1.0121955615137288e-15,86.05986785888672
14,2027557,1.5982777884332838e-09,194.6687831878662
15,2676585,4.346724842990242e-09,326.2153286933899
16,3401098,1.0349172695540144e-08,495.4357633590698
17,4200498,2.2199585051924374e-08,701.0570018291473
18,5075750,4.373922370697108e-08,955.8837840557098
19,6028857,8.033632104199376e-08,1265.0934188365936
20,7062410,1.3918897337521571e-07,1622.9324398040771
21,8179423,2.2964426916813923e-07,2030.9098525047302
22,9383285,3.635102084876135e-07,2478.0024828910828
23,10677715,5.553494050556538e-07,3041.929831981659
24,12066720,8.22737078571855e-07,3666.9791662693024
25,13554550,1.1864716069687403e-06,4332.663678646088
26,15145667,1.6707338753156349e-06,5141.64111328125
27,16844715,2.3031970436335283e-06,6095.912991523743
28,18656490,3.115092036217911e-06,7129.028147697449
29,20585910,4.141238255053198e-06,8239.802205324173
30,22637985,5.420053127731866e-06,9501.899645328522
31,24817814,6.993555038699494e-06,10923.89223909378
32,27130600,8.907372196645365e-06,12424.1751871109
33,29581650,1.1210769841215516e-05,14058.514260292053
