K,transitions,probability,time
19,28,8.675494344326961e-29,1.1652379035949707
20,113,0.028713144203286984,2.330425500869751
21,113,0.028713144203286984,3.4958302974700928
22,113,0.028713144203286984,4.660590410232544
23,116,0.028713863907013255,5.824765920639038
24,125,0.03851653631894885,6.995269775390625
25,125,0.03851653631894885,8.171392440795898
26,125,0.03851653631894885,9.344688415527344
27,128,0.03851676161074713,10.516474962234497
28,137,0.04132710715957773,11.686814785003662
29,137,0.04132710715957773,12.859098672866821
30,137,0.04132710715957773,14.034889698028564
31,140,0.04132716898720379,15.213846683502197
