K,transitions,probability,time
10,140,8.869799821418741e-14,3.1430931091308594
11,3116,5.581773182507822e-12,7.281051874160767
12,12275,4.2881845242494514e-11,13.143797874450684
13,36330,2.5878580585919854e-09,21.240150690078735
14,68742,5.2806100619509906e-09,32.4476797580719
15,128975,1.9871101255610577e-08,50.23956751823425
16,190681,2.9389462488211716e-08,73.92598104476929
17,292526,5.4545288070257865e-08,108.26401662826538
18,389769,7.091952147390462e-08,152.230313539505
19,537127,9.654700213859733e-08,213.47168517112732
20,674026,1.1546760982510934e-07,287.9809024333954
21,841528,1.374103857607706e-07,378.3598563671112
