K,transitions,probability,time
10,181431,3.2383804100251245e-10,8.971711874008179
11,249581,1.5114184576556544e-09,21.808969497680664
12,332635,4.259383436960636e-09,38.463576555252075
13,431095,8.95336726695369e-09,59.60714244842529
14,544752,1.6065307758365675e-08,86.64741706848145
15,672865,2.555004243173597e-08,121.12343287467957
16,814453,3.741262260980694e-08,163.57479786872864
17,968457,5.1251650105577656e-08,214.67383074760437
18,1133803,6.670142889117026e-08,274.9830195903778
19,1309411,8.320792198911471e-08,347.34942388534546
20,1494201,1.0025557676487845e-07,433.8311085700989
21,1687129,1.1730409480051346e-07,532.6110906600952
