K,transitions,probability,time
10,152,8.869824507546523e-14,1.1848735809326172
11,7544,7.463549058486121e-12,2.458173990249634
12,46287,3.1526762833445248e-09,4.646674871444702
13,101331,1.3721005869811886e-08,8.965733289718628
14,169236,2.2120781157463322e-08,15.629381895065308
15,296676,4.914314688889073e-08,28.153396129608154
16,426062,6.46674138361755e-08,47.326101541519165
17,594210,9.465971972614189e-08,74.4410810470581
18,790252,1.1349255110993008e-07,109.69476342201233
19,1023564,1.4017790876948865e-07,159.68528985977173
