K,transitions,probability,time
10,152,8.869824507546523e-14,1.1963882446289062
11,7436,7.463019754154223e-12,2.4914536476135254
12,43827,3.1525250125879205e-09,4.684428453445435
13,96351,1.0773401837305754e-08,8.933528661727905
14,155400,1.8371542856267483e-08,15.555545806884766
15,273522,3.672163143244193e-08,28.170604944229126
16,381038,5.081701543417736e-08,46.15907645225525
17,533322,7.185589129233285e-08,71.59168791770935
18,690484,8.98802106825004e-08,104.8654465675354
19,897334,1.1135482487136504e-07,149.03116106987
20,1111230,1.300226793285013e-07,205.27679181098938
